,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,gabbz88,"We flawless, in love","California, USA",308,159,8145,8823,i got the vaccine the minute i was allowed i would never “””do my own research” i failed 11th grade biology 3 times,[]
1,travel2ing,,,829,609,70205,2260,"THIS. 
They’ve been censoring, cancelling, deleting, and lying about every single person who asks simple questions about the vaccine. The entire mainstream media is after @NICKIMINAJ and she did nothing wrong. 
Evil is real. https://t.co/tMxVkSVzJO",[]
2,Jaykelz,"Cannabis Advocate #Nothing4sale🚫 Dm 4 Details, @ClubArrogance for updates .","Detroit, MI",740,2155,203728,69,I can’t believe all this is because her cousin got an STD and blamed it on the vaccine.,[]
3,Jongdaeisexo29,┊ ❀ᴸ¹⁴⁸⁵ Exo Is Nine @B_hundred_Hyun 💗🐶 •·ᴮᴮᴴ·•,사랑해 백현 ♡︎,1067,421,41956,266,"210916 Sehun 💌

“Those people who are working, those people who are studying”
“It’ll be lunch time in a bit”
“I got my vaccine yesterday so I’m resting”
“My arm is slightly aching (he said this cutely🥺) but I don’t have a fever” 

Rest well Sehunnie 🥰🧡",[]
4,chgonog,,,2049,410,244311,53,"@POTUS Poll Finds Biden’s New Vaccine Measures Broadly Popular Despite GOP Outcry
https://t.co/IfnwWiFcP2",[]
5,PamLOwen,"Attorney, Advocate, Former Sports Agent, Proud Daddy's Girl, Avid Sports Fan (Let's Go Mets!) & Vexed Citizen.""Let your Faith be greater than your Fear"".
#IamMe",NJ / STL,3667,4333,44735,8442,"NEW: Two weeks ago, Delta announced a $200 monthly surcharge for unvaccinated employees. In that short time, 20% of unvaccinated employees - 4,000 people - got the vaccine.

And the number of employees who quit? Zero.",[]
6,MartaDun1,"Former member of The Groundlings Improv Theater, Actor/Screenwriter/Model; Political Science wonk. Celtic Tarot Spiritual Consultant, Writing Coach. Proud Mom!","Los Angeles, CA",79,41,3006,284,"I give up.

I’ve been doing some research on people who refer to vaccine or mask mandates as “segregation,” but I can’t seem to find any record of them fighting against ACTUAL segregation. 

I’m probably looking in the wrong place.",[]
7,pakofdogs,,United States,12,0,26,736,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
8,KierkeStruck,Talkin' FP is my jam.,,2404,302,93789,85,Wow - @PentagonPresSec says as of today just under 88 % of the active duty force now have received at least one dose of the Covid vaccine. That's an additional 11.5 % since the mandate went into effect.,[]
9,SteeveQC,D'origine #Autochtone #Atikamekw #FirstNation #PremièresNations / Fondateur @RDThockey / Travailleur autonome #Web #SEO #SEM / #HockeyDad / #PleinAir,"Quebec, Canada",1482,1262,7356,82,"TW: 

The BC Assembly of First Nations is calling for the removal of Peoples Party Candidate Renate Siekmann after distribution of this flyer comparing residential school to vaccine mandates. https://t.co/NhMLTuotpr",[]
10,barbaraanne1935,,,602,196,31196,12,No further vaccine research? Or is this injection doing exactly what it was designed to do?,[]
11,kristalliserade,"♋♉♑ she/her| BLM | bi/ace | weeb |witch

I'm just here to try and understand a crumb of astrology",Liminal Spaces,319,58,5353,8823,i got the vaccine the minute i was allowed i would never “””do my own research” i failed 11th grade biology 3 times,[]
12,dozerdoug,"AKA: Dig, Dougie. Spent most my life pushing dirt from here to there. Still a kid at heart. Love being outside.","A town, Ca.",299,131,23646,4504,BREAKING: AG Mark Brnovich files FIRST lawsuit in the country challenging the Biden Administration’s unconstitutional COVID-19 vaccine mandate.,[]
13,randallboy83,What's Happening😎,"ATLANTA,GA",237,234,39512,3244,BREAKING: A new poll shows that a majority of Americans support vaccine requirements for airline passengers to fly and for sports fans to enter arenas. RT IF YOU’RE ONE OF THOSE AMERICANS!,[]
14,pskank332,Cheese is a kind of meat.  What is SEE-attle.,Patrick Pay-ne,352,26,3236,0,"@imbackbitch1628 @lufentyy @NICKIMINAJ I never said anything about it being reliable or not. All I’m saying is that I’ve never heard of a single person dying from the vaccine. I’m perfectly fine, can’t wait for my 2 year old to get it. Fuck out of here.",[]
15,_yochiii__,treasure forever,,509,273,10419,0,2nd dose of vaccine today 🥶,[]
16,cowseyelashes,"🏳️‍🌈
pronouns : all (neo leaning: xe/ve/bear/nor)
twts : raetwt, carrottwt",demilesbian ,450,475,18418,88,"i love doing ""liberal gatekeeping"" which is to try and stop more vaccine misinformation from spreading at a time when ICUs are filling up with people who refuse to take a safe and free vaccine. also, yes tucker carlson is a white nationalist. https://t.co/lFFuWBhOKL",[]
17,sherryfawn1,,,2193,1821,18254,0,@judysimpson222 @NototyrannyNOW Protected? Protected from what? Covid? I’m sure you already know this because it’s public knowledge. THE COVID VACCINE DOES NOT PREVENT YOU FROM GETTING OR SPREADING COVID-19.,[]
18,Thedudenessabid,"#BlueResistor #BidenHarris #BLM #Buildbackbetter #Medicareforall 
#Thedudeabides #musicislife #pirateover40","New Mexico, USA",2069,503,26311,737,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
19,jongfinity,"ㅁㅈㅇㅂㅈㅊㄱㅈㅅ 👉♥️ || 180707 — e)(o @weareoneEXO ---- part-time: 즈니, 타지, 로하",L-1485 💓,220,107,166692,266,"210916 Sehun 💌

“Those people who are working, those people who are studying”
“It’ll be lunch time in a bit”
“I got my vaccine yesterday so I’m resting”
“My arm is slightly aching (he said this cutely🥺) but I don’t have a fever” 

Rest well Sehunnie 🥰🧡",[]
20,KimaniMinaj,L{G}TQ+ 🏳️‍🌈 #BlackTransLivesMatter 🏳️‍⚧️ #BlackLivesMatter Men can be BISEXUAL!!!!! Fem for Fem,,294,57,438,0,ARE WE FORGETTING THE BIT WHERE SHE SAID SHES GETTING THE VACCINE????? https://t.co/0u8KF6FujM,[]
